px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
19.8401	14.958	4.88937	1.90177	0.521137	20.1149	14.0165	19.8655	14.9202	-1.43177	4.58944	3.87248
19.9257	15.2241	4.89555	1.81184	0.352255	20.0208	15.2053	19.7908	15.1486	-1.55581	4.54751	1.09147
19.6485	15.3684	4.78285	2.04322	0.7315	20.0157	15.3443	19.7099	15.3749	-1.67887	4.50226	7.13291
19.7651	15.6187	4.75385	1.92335	0.505378	19.9131	15.554	19.6229	15.5989	-1.80085	4.45372	2.53831
19.6294	15.8001	4.71044	1.99417	0.577444	19.9388	15.0864	19.5298	15.8203	-1.92164	4.40193	1.67564
19.4969	16.0028	4.71397	2.04691	0.611929	19.4748	16.0098	19.4307	16.039	-2.04114	4.3469	0.0544718
19.4124	16.2165	4.71612	2.03785	0.529836	19.1556	16.0022	19.3257	16.2549	-2.15925	4.28868	1.67741
19.2425	16.3558	4.64616	2.12121	0.613474	19.238	16.2719	19.2148	16.4679	-2.27586	4.22731	0.578666
19.1421	16.5586	4.64313	2.13204	0.581443	19.4007	16.2962	19.0981	16.6777	-2.39087	4.16284	0.282055
19.023	16.7833	4.68861	2.14812	0.561744	19.0029	16.8387	18.9757	16.8841	-2.50418	4.0953	0.228322
18.8275	16.9528	4.69896	2.26272	0.730425	18.8373	17.7112	18.8477	17.0872	-2.61571	4.02476	5.02142
18.6856	17.2232	4.83099	2.26185	0.67324	18.6148	17.3832	18.7142	17.2866	-2.72534	3.95127	2.00086
18.6554	17.4835	4.8266	2.15497	0.42716	18.8177	17.0316	18.5752	17.4822	-2.83299	3.87489	3.00938
18.2662	17.5513	4.87535	2.3754	0.713709	18.1023	17.5529	18.4309	17.674	-2.93858	3.79568	3.04863
18.2206	17.8067	4.85773	2.26101	0.451263	18.2749	17.4877	18.2814	17.8617	-3.042	3.71372	3.08508
18.1535	18.0415	4.83749	2.21324	0.35008	18.2094	18.0461	18.1268	18.0453	-3.14318	3.62906	0.36798
17.9015	18.1324	4.81037	2.35036	0.547068	18.3021	17.498	17.9671	18.2246	-3.24204	3.5418	2.65503
17.8061	18.2945	4.72505	2.33888	0.492667	17.9018	18.2183	17.8026	18.3994	-3.3385	3.45199	0.995171
